Price Date,Our Price and Margin,,,,,,,DB Price,,,,RSS Price,,,,BTD    Aug-24,BTD    Sep-24,BTD    Apr-25,BTD May-25,BTD Jun-25,PRODUCT NAME HALDIRAM ,Plant Name,Product Code,CL. Stk.    18-Aug,on passage,Physical stock (Stock + in Transit),Product life in months,Balance Qty,Exp Month as on 02Aug,MRP,Scheme % on basic 5Aug to 31aug,Scheme % on basic 12Aug to 31aug,Pickup,Pickup,LPT 220CB,LPT 260CB,LPT 260CB,Purchase Qty,Closing qty
15-Jul-25,3.4504,12,432,1669.4415,2.1679,1.58,3.75,3.5798,12,432,1732.05,3.5252,12,432,1705.63,16,7,1,15,34,All In One MRP 5|17GM*7.344KG NGP,Central Ware House,FD012600170734400D,20,,20,5,-10,Nov-25,5,,,10,,,,,5,15
15-Jul-25,3.4504,12,384,1483.9480,2.1679,1.58,3.75,3.5798,12,384,1539.60,3.5252,12,384,1516.12,305,221,310,401,310,Aloo Bhujia MRP 5|20 GM*7.68 KG,Hariomkar,FD092100200768000D,156,48,204,5,-4,Nov-25,5,,,,,,,,2,158
15-Jul-25,3.4504,12,480,1854.9350,2.1679,1.58,3.75,3.5798,12,480,1924.50,3.5252,12,480,1895.15,976,1250,1294,1231,1086,Bhujia MRP 5| 17 GM*8.16 KG,Kasana-2,FD092200170816000D,387,,387,6,0,Dec-25,5,,,,10,,,,,377
15-Jul-25,3.4504,12,288,1112.9610,2.1679,1.58,3.75,3.5798,12,288,1154.70,3.5252,12,288,1137.09,266,137,468,280,318,Chana Jor Garam MRP 5|25 GM*7.2 KG NGP,Central Ware House,FD020400250720000D,87,,87,6,0,Jan-26,5,,,,,,,,,87
15-Jul-25,3.4504,12,432,1669.4415,2.1679,1.58,3.75,3.5798,12,432,1732.05,3.5252,12,432,1705.63,90,130,73,95,109,Chana Nuts MRP 5|20 GM*8.64 KG NGP,Central Ware House,FE020600200864000D,50,,50,5,0,Jan-26,5,,,,,,,,,50
15-Jul-25,3.4504,12,504,1947.6818,2.1679,1.58,3.75,3.5798,12,504,2020.73,3.5252,12,504,1989.90,3,12,52,5,27,Chatpata Dal MRP 5|22 GM*11.088 KG,Hariomkar,FD020700221108800D,25,,25,6,0,Dec-25,5,,,,,,,,,25
15-Jul-25,3.4504,12,576,2225.9220,2.1679,1.58,3.75,3.5798,12,576,2309.40,3.5252,12,576,2274.18,392,398,207,357,247,Chatpata Matar MRP 5|13GM*7.488KG NGP,Hariomkar,FE020800130748800D,170,24,194,6,0,Dec-25,5,,,,,,,,,170
15-Jul-25,3.4504,12,300,1159.3344,2.1679,1.58,3.75,3.5798,12,300,1202.81,3.5252,12,300,1184.47,,18,40,54,54,Falahari Chiwda MRP 5|18GM*5.4KG,Central Ware House,FD028500180540000D,41,72,113,5,0,Dec-25,5,,,,,,,,,41
19-Jul-25,3.4504,12,300,1159.3344,2.1679,1.58,3.75,3.5798,12,300,1202.81,3.5252,12,300,1184.47,88,53,52,80,104,Gathiya MRP 5|20 GM*6 KG NGP,Central Ware House,FD037400200600000D ,40,50,90,4,0,Nov-25,5,,,,,,,,,40
15-Jul-25,3.4504,12,336,1298.4545,2.1679,1.58,3.75,3.5798,12,336,1347.15,3.5252,12,336,1326.60,2610,2514,2400,3955,3584,Khatta Meetha MRP 5|27.5GM*9.24KG NGP,Central Ware House,FD045900280924000D,1096,810,1906,4,0,Nov-25,5,,,,,,,,,1096
15-Jul-25,3.4504,12,360,1391.2013,2.1679,1.58,3.75,3.5798,12,360,1443.38,3.5252,12,360,1421.36,12905,10745,11218,11839,9852,Lite Chiwda MRP 5|22GM*7.92KG NGP,Central Ware House,FD047900220792002D,476,1106,1582,4,0,Nov-25,5,,2,,,,,,,476
22-Jul-25,3.4504,12,240,927.4675,2.1679,1.58,3.75,3.5798,12,240,962.25,3.5252,12,240,947.57,6,1,,,9,Lite Cornflakes MRP 5| 20GM*4.8 KG,Central Ware House,FD584100200480000D,5,,5,4,0,Nov-25,5,,,,,,,,,5
30-Jul-25,3.4377,12,300,1155.0672,2.5453,1.59,4.13,3.5798,12,300,1202.81,3.5252,12,300,1184.47,10,7,19,,12,Lite Mix Chiwda MRP 5|20 GM*6 KG,Central Ware House,FD048200200600000D,,,0,4,0,,5,,,,,,,,,0
08-Aug-25,3.4504,12,480,1854.9350,2.1679,1.58,3.75,3.5798,12,480,1924.50,3.5252,12,480,1895.15,,,,,,Masala Peanut MRP 5|17GM*8.16KG NGP,,FE056100170816000D,,,0,,0,,5,,,,,,,,,0
15-Jul-25,3.4504,12,432,1669.4415,2.1679,1.58,3.75,3.5798,12,432,1732.05,3.5252,12,432,1705.63,35,43,71,59,44,Mixture MRP 5|22 GM*9.504 KG NGP,Central Ware House,FD059900220950400D,49,12,61,5,0,Dec-25,5,,,,,,,,,49
15-Jul-25,3.4504,12,564,2179.5487,2.1679,1.58,3.75,3.5798,12,564,2261.29,3.5252,12,564,2226.80,1983,1812,1803,2292,1791,Moong Dal MRP 5|17 GM*9.588 KG NGP,Hariomkar,FD060300170958800D,13,,13,7,0,,5,,,,,,,,,13
02-Aug-25,3.4504,12,576,2225.9220,2.1679,1.58,3.75,3.5798,12,576,2309.40,3.5252,12,576,2274.18,,,,,,Moong Dal MRP 5|17 Gm*9.792 Kg,Hariomkar,,709,1032,1741,7,0,Feb-26,5,,,,,,,,,709
19-Jul-25,3.4504,12,360,1391.2013,2.1679,1.58,3.75,3.5798,12,360,1443.38,3.5252,12,360,1421.36,,20,,,,Nutty Craze MRP 5|17 GM*6.12 KG,Central Ware House,FE025700170612000D,6,,6,5,0,Dec-25,5,,,,,,,,,6
16-Jul-25,3.4504,12,240,927.4675,2.1679,1.58,3.75,3.5798,12,240,962.25,3.5252,12,240,947.57,242,290,287,343,348,Papdi Gathiya MRP 5|20 GM*4.8 KG,Central Ware House,FD073700200480000D,147,24,171,4,0,Nov-25,5,,,,,,,,,147
15-Jul-25,3.4504,12,300,1159.3344,2.1679,1.58,3.75,3.5798,12,300,1202.81,3.5252,12,300,1184.47,4183,3937,4174,5435,5326,Punjabi Tadka MRP 5|22 GM*6.6 KG NGP,Hariomkar / Gaya,FD075200220660000D,18,,18,5,0,Dec-25,5,,2,,,,,,,18
08-Aug-25,3.4504,12,300,1159.3344,2.1679,1.59,3.76,3.5800,12,300,1202.88,3.5252,12,300,1184.47,,,,,,Punjabi Tadka 20 gm*6.00 KG,,FD075200200600000D,1018,,1018,4,0,Dec-25,5,,2,,,,,,,1018
15-Jul-25,3.4504,12,300,1159.3344,2.1679,1.58,3.75,3.5798,12,300,1202.81,3.5252,12,300,1184.47,2,7,8,-,-,Ratlami Sev MRP 5|22GM*6.6KG,-,FD076600220660000D,34,,34,5,0,Dec-25,5,,,,,,,,,34
15-Jul-25,3.6804,5,432,1669.4294,2.1682,1.58,3.75,3.8184,5,432,1732.03,3.7602,5,432,1705.63,603,587,781,561,622,Roasted Chana MRP 5|20 GM*8.64 KG,Central Ware House,FE077300200864000D,259,80,339,6,0,Jan-26,5,,,,,,,,,259
15-Jul-25,3.4504,12,480,1854.9350,2.1679,1.58,3.75,3.5798,12,480,1924.50,3.5252,12,480,1895.15,1535,1813,1930,1745,1543,Salted Peanut MRP 5|16GM*7.68KG NGP,Central Ware House,FE081200160768000D,1293,198,1491,4,0,Nov-25,5,,2,,,,,,,1293
15-Jul-25,3.4504,12,192,741.9740,2.1679,1.58,3.75,3.5798,12,192,769.80,3.5252,12,192,758.06,2576,2402,3272,3703,3478,Sev Murmura MRP 5|27.5 GM*5.28KG,Hariomkar,FD050200280528000D,1620,320,1940,4,0,Nov-25,5,,,,,,,,,1620
15-Jul-25,3.4504,12,240,927.4675,2.1679,1.58,3.75,3.5798,12,240,962.25,3.5252,12,240,947.57,1755,1842,1349,372,561,Soya Chips MRP 5|20 GM*4.8 KG NGP,Hariomkar,FD084100200480000D,9,,9,5,0,Dec-25,5,,,,,,,,,9
15-Jul-25,3.4504,12,240,927.4675,2.1679,1.58,3.75,3.5798,12,240,962.25,3.5252,12,240,947.57,2265,2224,2124,2976,2720,Soya Sticks MRP 5|20 GM*4.8 KG NGP,Hariomkar,FD084200200480000D,262,,262,5,0,Dec-25,5,,,,,,,,,262
15-Jul-25,3.4504,12,432,1669.4415,2.1679,1.58,3.75,3.5798,12,432,1732.05,3.5252,12,432,1705.63,1761,,2138,2498,2020,Tasty Nuts MRP 5|18GM*7.776KG NGP,Central Ware House,FE089200180777600D,979,90,1069,5,0,Dec-25,5,,2,,,,,,,979
08-Aug-25,3.4504,12,336,1298.4545,2.1679,1.58,3.75,3.5798,12,336,1347.15,3.5252,12,336,1326.60,,10,,,,Teekha Meetha 22 GM*7.392 KG,Central Ware House,FD089300220739200D,1,,1,5,0,Dec-25,5,,,,,,,,,1
